#Format for adding blocks
#block ~~~ meta

minecraft:chest ~~~ 0
minecraft:redstone_wire ~~~ 0
minecraft:diamond_ore ~~~ 0
minecraft:diamond_block ~~~ 0
minecraft:crafting_table ~~~ 0
minecraft:wheat ~~~ 0
minecraft:farmland ~~~ 0
minecraft:furnace ~~~ 0
minecraft:lit_furnace ~~~ 0
minecraft:standing_sign ~~~ 0
minecraft:wooden_door ~~~ 0
minecraft:ladder ~~~ 0
minecraft:rail ~~~ 0
minecraft:stone_stairs ~~~ 0
minecraft:wall_sign ~~~ 0
minecraft:lever ~~~ 0
minecraft:stone_pressure_plate ~~~ 0
minecraft:iron_door ~~~ 0
minecraft:wooden_pressure_plate ~~~ 0
minecraft:redstone_ore ~~~ 0
minecraft:lit_redstone_ore ~~~ 0
minecraft:unlit_redstone_torch ~~~ 0
minecraft:redstone_torch ~~~ 0
minecraft:stone_button ~~~ 0
minecraft:snow_layer ~~~ 0
minecraft:ice ~~~ 0
minecraft:snow ~~~ 0
minecraft:cactus ~~~ 0
minecraft:clay ~~~ 0
minecraft:reeds ~~~ 0
minecraft:jukebox ~~~ 0
minecraft:fence ~~~ 0
minecraft:pumpkin ~~~ 0
minecraft:netherrack ~~~ 0
minecraft:soul_sand ~~~ 0
minecraft:glowstone ~~~ 0
minecraft:portal ~~~ 0
minecraft:lit_pumpkin ~~~ 0
minecraft:stained_glass ~~~ 0
minecraft:stained_glass ~~~ 1
minecraft:stained_glass ~~~ 2
minecraft:stained_glass ~~~ 3
minecraft:stained_glass ~~~ 4
minecraft:stained_glass ~~~ 5
minecraft:stained_glass ~~~ 6
minecraft:stained_glass ~~~ 7
minecraft:stained_glass ~~~ 8
minecraft:stained_glass ~~~ 9
minecraft:stained_glass ~~~ 10
minecraft:stained_glass ~~~ 11
minecraft:stained_glass ~~~ 12
minecraft:stained_glass ~~~ 13
minecraft:stained_glass ~~~ 14
minecraft:stained_glass ~~~ 15
minecraft:cake ~~~ 0
minecraft:unpowered_repeater ~~~ 0
minecraft:powered_repeater ~~~ 0
minecraft:stained_glass ~~~ 0
minecraft:trapdoor ~~~ 0
minecraft:monster_egg ~~~ 0
minecraft:monster_egg ~~~ 1
minecraft:monster_egg ~~~ 2
minecraft:stonebrick ~~~ 0
minecraft:stonebrick ~~~ 1
minecraft:stonebrick ~~~ 2
minecraft:stonebrick ~~~ 3
minecraft:brown_mushroom_block ~~~ 0
minecraft:red_mushroom_block ~~~ 0
minecraft:iron_bars ~~~ 0
minecraft:glass_pane ~~~ 0
minecraft:melon_block ~~~ 0
minecraft:pumpkin_stem ~~~ 0
minecraft:melon_stem ~~~ 0
minecraft:vine ~~~ 0
minecraft:fence_gate ~~~ 0
minecraft:brick_stairs ~~~ 0
minecraft:stone_brick_stairs ~~~ 0
minecraft:mycelium ~~~ 0
minecraft:waterlily ~~~ 0
minecraft:nether_brick ~~~ 0
minecraft:nether_brick_fence ~~~ 0
minecraft:nether_brick_stairs ~~~ 0
minecraft:nether_wart ~~~ 0
minecraft:enchanting_table ~~~ 0
minecraft:brewing_stand ~~~ 0
minecraft:cauldron ~~~ 0
minecraft:end_portal ~~~ 0
minecraft:end_portal_frame ~~~ 0
minecraft:end_stone ~~~ 0
minecraft:dragon_egg ~~~ 0
minecraft:redstone_lamp ~~~ 0
minecraft:lit_redstone_lamp ~~~ 0
minecraft:double_wooden_slab ~~~ 0
minecraft:double_wooden_slab ~~~ 1
minecraft:double_wooden_slab ~~~ 2
minecraft:double_wooden_slab ~~~ 3
minecraft:double_wooden_slab ~~~ 4
minecraft:double_wooden_slab ~~~ 5
minecraft:wooden_slab ~~~ 0
minecraft:wooden_slab ~~~ 1
minecraft:wooden_slab ~~~ 2
minecraft:wooden_slab ~~~ 3
minecraft:wooden_slab ~~~ 4
minecraft:wooden_slab ~~~ 5
minecraft:cocoa ~~~ 0
minecraft:sandstone_stairs ~~~ 0
minecraft:emerald_ore ~~~ 0
minecraft:ender_chest ~~~ 0
minecraft:tripwire_hook ~~~ 0
minecraft:tripwire ~~~ 0
minecraft:emerald_block ~~~ 0
minecraft:spruce_stairs ~~~ 0
minecraft:birch_stairs ~~~ 0
minecraft:jungle_stairs ~~~ 0
minecraft:command_block ~~~ 0
minecraft:beacon ~~~ 0
minecraft:cobblestone_wall ~~~ 0
minecraft:cobblestone_wall ~~~ 1
minecraft:flower_pot ~~~ 0
minecraft:carrots ~~~ 0
minecraft:potatoes ~~~ 0
minecraft:wooden_button ~~~ 0
minecraft:skull ~~~ 0
minecraft:anvil ~~~ 0
minecraft:trapped_chest ~~~ 0
minecraft:light_weighted_pressure_plate ~~~ 0
minecraft:heavy_weighted_pressure_plate ~~~ 0
minecraft:unpowered_comparator ~~~ 0
minecraft:powered_comparator ~~~ 0
minecraft:daylight_detector ~~~ 0
minecraft:redstone_block ~~~ 0
minecraft:quartz_ore ~~~ 0
minecraft:hopper ~~~ 0
minecraft:quartz_block ~~~ 0
minecraft:quartz_block ~~~ 1
minecraft:quartz_block ~~~ 2
minecraft:quartz_stairs ~~~ 0
minecraft:activator_rail ~~~ 0
minecraft:dropper ~~~ 0
minecraft:stained_hardened_clay ~~~ 0
minecraft:stained_hardened_clay ~~~ 1
minecraft:stained_hardened_clay ~~~ 2
minecraft:stained_hardened_clay ~~~ 3
minecraft:stained_hardened_clay ~~~ 4
minecraft:stained_hardened_clay ~~~ 5
minecraft:stained_hardened_clay ~~~ 6
minecraft:stained_hardened_clay ~~~ 7
minecraft:stained_hardened_clay ~~~ 8
minecraft:stained_hardened_clay ~~~ 9
minecraft:stained_hardened_clay ~~~ 10
minecraft:stained_hardened_clay ~~~ 11
minecraft:stained_hardened_clay ~~~ 12
minecraft:stained_hardened_clay ~~~ 13
minecraft:stained_hardened_clay ~~~ 14
minecraft:stained_hardened_clay ~~~ 15
minecraft:stained_glass_pane ~~~ 0
minecraft:stained_glass_pane ~~~ 1
minecraft:stained_glass_pane ~~~ 2
minecraft:stained_glass_pane ~~~ 3
minecraft:stained_glass_pane ~~~ 4
minecraft:stained_glass_pane ~~~ 5
minecraft:stained_glass_pane ~~~ 6
minecraft:stained_glass_pane ~~~ 7
minecraft:stained_glass_pane ~~~ 8
minecraft:stained_glass_pane ~~~ 9
minecraft:stained_glass_pane ~~~ 10
minecraft:stained_glass_pane ~~~ 11
minecraft:stained_glass_pane ~~~ 12
minecraft:stained_glass_pane ~~~ 13
minecraft:stained_glass_pane ~~~ 14
minecraft:stained_glass_pane ~~~ 15
minecraft:leaves2 ~~~ 0
minecraft:leaves2 ~~~ 1
minecraft:log2 ~~~ 0
minecraft:log2 ~~~ 1
minecraft:acacia_stairs ~~~ 0
minecraft:dark_oak_stairs ~~~ 0
minecraft:hay_block ~~~ 0
minecraft:carpet ~~~ 0
minecraft:carpet ~~~ 1
minecraft:carpet ~~~ 2
minecraft:carpet ~~~ 3
minecraft:carpet ~~~ 4
minecraft:carpet ~~~ 5
minecraft:carpet ~~~ 6
minecraft:carpet ~~~ 7
minecraft:carpet ~~~ 8
minecraft:carpet ~~~ 9
minecraft:carpet ~~~ 10
minecraft:carpet ~~~ 11
minecraft:carpet ~~~ 12
minecraft:carpet ~~~ 13
minecraft:carpet ~~~ 14
minecraft:carpet ~~~ 15
minecraft:hardened_clay ~~~ 0
minecraft:coal_block ~~~ 0
minecraft:packed_ice ~~~ 0
minecraft:slime ~~~ 0
minecraft:iron_trapdoor ~~~ 0
minecraft:prismarine ~~~ 0
minecraft:prismarine ~~~ 1
minecraft:prismarine ~~~ 2
minecraft:sea_lantern ~~~ 0
minecraft:red_sandstone ~~~ 0
minecraft:red_sandstone ~~~ 1
minecraft:red_sandstone ~~~ 2
minecraft:red_sandstone_stairs ~~~ 0
minecraft:spruce_fence_gate ~~~ 0
minecraft:birch_fence_gate ~~~ 0
minecraft:jungle_fence_gate ~~~ 0
minecraft:acacia_fence_gate ~~~ 0
minecraft:dark_oak_fence_gate ~~~ 0
minecraft:spruce_fence ~~~ 0
minecraft:birch_fence ~~~ 0
minecraft:jungle_fence ~~~ 0
minecraft:acacia_fence ~~~ 0
minecraft:dark_oak_fence ~~~ 0
minecraft:stone_slab2 ~~~ 0
